Date, Open, High, Low, Close
01/01/25, 157.21, 157.44, 157.19, 157.40
12/31/24, 156.84, 157.55, 156.03, 157.21
12/30/24, 157.87, 158.08, 156.67, 156.84
12/27/24, 158.00, 158.00, 157.35, 157.84
12/26/24, 157.19, 158.09, 157.08, 158.00
12/25/24, 157.16, 157.38, 157.05, 157.20
12/24/24, 157.18, 157.44, 156.89, 157.17
12/23/24, 156.46, 157.28, 156.34, 157.17
12/20/24, 157.43, 157.93, 155.95, 156.41
12/19/24, 154.79, 157.80, 154.44, 157.44
12/18/24, 153.44, 154.86, 153.34, 154.84
12/17/24, 154.14, 154.34, 153.16, 153.50
12/16/24, 153.75, 154.48, 153.32, 154.15
12/13/24, 152.64, 153.80, 152.47, 153.70
12/12/24, 152.46, 152.77, 151.81, 152.64
12/11/24, 151.95, 152.81, 151.03, 152.47
12/10/24, 151.19, 152.17, 150.90, 151.97
12/09/24, 149.97, 151.35, 149.69, 151.22
12/06/24, 150.10, 150.70, 149.37, 150.01
12/05/24, 150.62, 150.76, 149.66, 150.11
12/04/24, 149.59, 151.24, 149.53, 150.62
12/03/24, 149.59, 150.22, 148.65, 149.59
12/02/24, 149.75, 150.75, 149.08, 149.59
11/29/24, 151.55, 151.71, 149.47, 149.75
11/28/24, 151.11, 151.96, 150.93, 151.55
11/27/24, 153.08, 153.23, 150.46, 151.12
11/26/24, 154.20, 154.50, 153.00, 153.11
11/25/24, 154.77, 154.77, 153.55, 154.19
11/22/24, 154.54, 155.03, 153.98, 154.76
11/21/24, 155.43, 155.45, 153.91, 154.54
11/20/24, 154.66, 155.89, 154.53, 155.43
11/19/24, 154.67, 154.80, 153.28, 154.66
11/18/24, 154.34, 155.36, 153.85, 154.68
11/15/24, 156.27, 156.75, 153.86, 154.34
11/14/24, 155.47, 156.42, 155.35, 156.27
11/13/24, 154.62, 155.63, 154.34, 155.49
11/12/24, 153.72, 154.92, 153.41, 154.62
11/11/24, 152.65, 153.96, 152.64, 153.72
11/08/24, 152.94, 153.37, 152.15, 152.63
11/07/24, 154.62, 154.70, 152.70, 152.94
11/06/24, 151.62, 154.72, 151.31, 154.64
11/05/24, 152.09, 152.57, 151.34, 151.62
11/04/24, 153.03, 153.03, 151.54, 152.13
11/01/24, 152.03, 153.10, 151.78, 152.99
10/31/24, 153.41, 153.58, 151.84, 152.03
